Incident ID,State,City Or County,Address,City,County
1504030,Missouri,Saint Louis,5200 block of Tennessee Ave,,Saint Louis
1504012,California,Oakland,38th Ave and MacArthur Blvd,Oakland,
1504387,Georgia,Lagrange,1400 block of Elm St,Lagrange,
1503192,New Mexico,Albuquerque,1028 Lura Pl SW,Albuquerque,
1501350,Illinois,Chicago,2200 block of W Maypole Ave,Chicago,
1499460,South Carolina,Sumter,1083 Broad St,Sumter,
1500098,Louisiana,Alexandria,2900 block of Cypress St,Alexandria,
1499300,North Carolina,Whiteville,Brittany Ln,Whiteville,
1497180,Florida,Jacksonville,400 W 62nd St,Jacksonville,
1497702,Louisiana,Marrero,3044 Sorbonne Dr,Marrero,
1495192,Alabama,Elkmont,25019 Ridge Road,Elkmont,
1494697,North Carolina,Greensboro,5528 W Market St,Greensboro,
1495141,Illinois,Chicago,6200 block of S King Dr,Chicago,
1494113,Connecticut,Hartford,80 Edgewood St,Hartford,
1494669,North Carolina,Rocky Mount,521 Country Club Road,Rocky Mount,
1494548,Alabama,Valley,502 Boulevard,Valley,
1493374,Ohio,Toledo,3257 Stickney Ave,Toledo,
1492778,North Carolina,Charlotte,10035 Dabney Dr,Charlotte,
1492377,South Carolina,Moncks Corner,336 Maplewood Rd,Moncks Corner,
1492441,Texas,Odessa,8250 TX 191,Odessa,
1492264,Pennsylvania,Philadelphia,4600 block of 4th St,Philadelphia,
1493429,Maryland,Baltimore,900 block of N Monroe St,Baltimore,
1492297,Maryland,Frederick,600 block of N Market St,Frederick,
1493038,Illinois,Chicago,7100 block of S Paulina St,Chicago,
1491495,Maryland,Baltimore,1600 block of E 29th St,Baltimore,
1492087,Alabama,Mobile,1621 Virginia St,Mobile,
1490466,Maryland,Baltimore,2500 block of E Monument St,Baltimore,
1487729,New Mexico,Hobbs,1700 block of E Bond St,Hobbs,
1487573,Illinois,Chicago,8200 block of S Maryland Ave,Chicago,
